amount,transactions_last_24h,country_risk,hour,account_age_days,is_fraud
166.77933623598994,2,0.34139682870202276,20,387,0
3396.4221332641696,2,0.16604242633000285,21,2917,0
3578.5925538703204,3,0.45934898852441297,18,1686,0
682.4117301583173,4,0.37740616730732324,20,115,0
1846.9223357535968,2,0.19113225554179586,7,2894,0
2392.299559024271,11,0.5016917322704386,15,412,1
1396.756993091661,2,0.03891022705388085,12,31,0
348.1873081403198,2,0.20767530167167644,22,2901,0
2043.6498353943173,2,0.4226487529081125,0,3473,0
212.47296776939885,1,0.4410669197793072,23,2629,0
175.92712339554708,5,0.1632545767724904,8,2231,0
970.7526353192126,3,0.19859751717753119,17,56,0
887.8090804548812,1,0.25267911388877556,9,2764,0
1439.86081342079,3,0.1647551303023899,2,2392,0
572.7747367074865,6,0.07578045337696447,20,398,0
7227.812176163445,2,0.2423268191825038,1,141,0
1287.6897359125953,0,0.10225260637291798,2,1987,0
1384.20573628682,2,0.16051152457404422,18,3005,0
1335.7308542569742,5,0.14188067450103667,20,345,0
2989.644816762253,6,0.11957500384350651,13,22,0
1950.8440703350118,3,0.11810091417397056,4,1111,0
1706.189669388988,2,0.07000526565001411,13,262,0
6927.4895253502045,9,0.7856809781079379,12,575,1
176.86475827099864,2,0.1275175589680244,13,1619,0
183.67214532841402,6,0.2929534605811558,2,608,0
1016.3176782398318,2,0.13838811914079507,1,289,0
899.9382207148835,3,0.1666549469219694,12,2798,0
1958.2565558420085,1,0.12593010786394138,2,2732,0
1118.8055278430145,3,0.36709464539886216,23,2181,0
1962.2850881836523,0,0.3331673370971707,5,2723,0
315.5776378392679,3,0.1346113888708574,20,2030,0
2483.7761617283904,4,0.7393980721234298,14,267,1
286.8453619582217,3,0.21965424340065468,10,352,0
1614.6248769966146,3,0.14434234282910605,13,1749,0
167.62258890518007,6,0.03312259032070069,1,77,0
1553.5689298702207,4,0.10408640290992385,0,891,0
252.39633730777916,4,0.4648948649000156,9,3125,0
747.3041070539824,3,0.23197380598016634,9,2239,0
2683.6355197219855,3,0.25592410809084604,8,516,0
1376.6110384960325,1,0.0638406833955774,3,385,0
211.5242768956486,3,0.4143717302591747,4,2761,0
559.8148786878672,3,0.11798765479884624,8,3249,0
244.35485059284264,1,0.31213565164973023,19,2137,0
201.38963221709196,5,0.32038381019434975,11,2250,0
1233.56443992615,5,0.2654096683241179,9,1480,0
1920.4183723690153,4,0.03179199970307626,10,3612,0
1703.7822654203187,5,0.247596000829041,6,3235,0
2003.451685786472,3,0.4440740183810261,19,474,0
1083.6488052546122,4,0.2152495046993403,18,3342,0
834.3139590754104,2,0.08092646488564008,1,223,0
375.001742616777,4,0.033050927660708725,6,599,0
706.2154269346312,2,0.4195121991722696,5,754,0
292.5546874022521,8,0.2751788757704755,22,68,0
470.9888745728863,4,0.191169437296079,11,3532,0
1198.620834742447,8,0.2648481143412824,8,2130,0
974.7625593412239,3,0.07017928596740948,17,2422,0
23499.34994641036,5,0.15971208744663162,8,2251,0
285.4892578074911,3,0.5081630180192603,21,80,0
967.6798307113264,5,0.3119194797756977,6,2019,0
264.0841728274211,2,0.1890193961279992,11,3213,0
744.128789508251,4,0.10975042844727795,0,864,0
775.0339368549053,3,0.12988663316147386,22,2167,0
2552.631396367859,0,0.26110621330387734,16,1602,0
699.4773832058816,3,0.25340474245041017,14,688,0
905.674889419756,5,0.19228843700891685,14,1205,0
713.14305435101,2,0.2489158371074846,20,1428,0
270.1421375749971,2,0.10527544687038799,13,3584,0
571.2903808037925,4,0.2387310792364528,8,2648,0
748.4940726942589,3,0.18094101753611824,17,548,0
1180.6564583500442,2,0.02047061663816915,7,2171,0
1917.8255308924972,1,0.21299568611882938,19,3218,0
867.3160908179949,3,0.33212579842676476,18,625,0
852.2021262014642,4,0.4916809188406201,5,1279,0
196.21026042596554,3,0.2323481824804427,13,172,0
1881.330498075373,1,0.0688987624014627,8,1701,0
546.8103936732712,8,0.09816079854752939,13,912,0
2314.9034010228256,5,0.17730105654372744,1,1393,0
4090.5714080745424,3,0.1957055167202642,18,2432,0
908.7635808788367,2,0.10495840091191988,22,1032,0
394.1331195981482,2,0.20293075138017402,15,847,0
1078.472952728783,1,0.25936205005961804,13,1311,0
1554.1778920406832,2,0.2253413008544232,5,1020,0
799.8946238089792,1,0.14537621550256052,19,2806,0
623.8822138028352,0,0.09055780392117334,3,2891,0
1926.6388028350877,4,0.1582552457819774,12,764,0
1803.6691299712127,7,0.1503382052341598,0,3577,0
775.6569592890644,4,0.04008779349110449,19,2236,0
209.7536684320501,2,0.17962116664366434,17,306,0
1730.8678089295804,3,0.1810348688344338,14,651,0
509.1144309751113,4,0.04856086736287803,13,2930,0
1358.7780407246182,4,0.4781059831092964,0,2615,0
1275.581244408309,0,0.1748456269944441,8,1967,0
165.8448268152173,4,0.21750645881009084,9,1750,0
1189.2542207736933,3,0.5837571994774353,2,1759,0
1834.509689082481,2,0.327860411974525,8,568,0
2073.829993972671,4,0.3197356605185428,4,873,0
1233.1976015323125,2,0.3469551051097427,12,2746,0
151.83796857489523,3,0.0590956971070939,15,3648,0
3932.698310177235,3,0.17182090963323596,11,1394,0
5672.726971535217,6,0.678634542450239,3,274,1
329.2050044793579,3,0.20637575036126515,4,2603,0
498.8158351740304,6,0.06921310904853033,13,3602,0
1381.9132199889684,1,0.5635764196124179,5,1086,0
3016.7143386032685,5,0.48757114306074795,10,529,1
673.1964194846796,5,0.24183586735889026,17,1875,0
2503.7012284241414,4,0.1411138242711876,16,3079,0
182.58816840346478,4,0.20335616309154897,7,1905,0
386.6581575702075,2,0.16215242054751894,19,1246,0
139.16161981431762,5,0.16586285337733148,17,10,0
447.0162096388813,8,0.12977450920649497,21,1656,0
4954.62708973314,7,0.17918284506453458,11,2493,0
8585.2615138471,3,0.09856810312995942,22,3054,0
1386.5729362199183,2,0.24494185102293142,15,1458,0
579.1553753205873,0,0.18520115598536283,11,3333,0
878.6266813849643,5,0.16660033422494966,8,2981,0
1760.4766774693362,4,0.15146726337139174,16,1192,0
229.7562922781599,4,0.17365170590446352,16,2777,0
618.6259593314487,3,0.3871656009813204,15,1495,0
4604.977554183381,2,0.4604334944392014,9,2186,0
